x [m], y [m], $\theta$ [rad], stamp, 
-1.9999428543660092, -0.5000009910022765, 7.231948494742619e-07, 6222000000, 
-1.9999430306451427, -0.5000009911998482, 7.224792773624136e-07, 6256000000, 
-1.9999430872562796, -0.5000009914389809, 7.229815238255636e-07, 6290000000, 
-1.9999430298156224, -0.5000009915842185, 7.245628100986367e-07, 6324000000, 
-1.9987351405560714, -0.5000008395004067, 0.0003437964043662984, 6358000000, 
-1.9963725839341853, -0.4999990721414083, 0.0012965626916808474, 6392000000, 
-1.9832733655409382, -0.4999912253551101, -0.005397021615108594, 6494000000, 
-1.971335983388038, -0.5002711257347452, -0.04605147172205168, 6562000000, 
-1.949583108994337, -0.5023782621650634, -0.15468146227464144, 6664000000, 
-1.9274494329447327, -0.5071408388099354, -0.27029525384308306, 6766000000, 
-1.9060175818166072, -0.5144588111167443, -0.3879485687301033, 6868000000, 
-1.885593777296721, -0.5242547242952978, -0.506553688568713, 6970000000, 
-1.866439041283155, -0.5363243811364481, -0.6166931982010627, 7072000000, 
-1.8486906699866936, -0.5503717240496521, -0.7229398237286578, 7174000000, 
-1.832424839309388, -0.5660808202967207, -0.813347751498417, 7276000000, 
-1.8175925540603186, -0.5831315230673847, -0.8949748707573713, 7378000000, 
-1.8041230019894485, -0.6012587195281074, -0.9674803373649452, 7480000000, 
-1.7959060603516688, -0.6137688095380553, -1.0183513161702122, 7548000000, 
-1.784688771294494, -0.6332786623889831, -1.0679886644256695, 7650000000, 
-1.774439970419414, -0.6530372508289218, -1.11359958311863, 7752000000, 
-1.7648638791432696, -0.6732930524366071, -1.1466651369787162, 7854000000, 
-1.7559066601564894, -0.6938160797220493, -1.1710870868657968, 7956000000, 
-1.7473803137413249, -0.7145984946884176, -1.1900067776353065, 8058000000, 
-1.73919512429543, -0.7355246814931128, -1.2042666784989302, 8160000000, 
-1.7312692955883553, -0.756537232242532, -1.2149644769088424, 8262000000, 
-1.7235388281942647, -0.77761480079936, -1.2229272591420828, 8364000000, 
-1.7184676928311684, -0.7916957068636092, -1.2272259751301278, 8432000000, 
-1.710982554276124, -0.8128251324034858, -1.2385985872514773, 8534000000, 
-1.7037869372560182, -0.8340156603046335, -1.2333329527313113, 8636000000, 
-1.6963543745774123, -0.8551774598977144, -1.2273434873709295, 8738000000, 
-1.6886985325829849, -0.8762487708554627, -1.2171836677591141, 8840000000, 
-1.6808030800067706, -0.8972242581278195, -1.2044134614075959, 8942000000, 
